# Time          2.5000E+00
    Distance         pH
  1.8050E+01    6.3443E+00
  1.8150E+01    6.3481E+00
  1.8250E+01    6.3518E+00
  1.8350E+01    6.3556E+00
  1.8450E+01    6.3594E+00
  1.8550E+01    6.3632E+00
  1.8650E+01    6.3669E+00
  1.8750E+01    6.3707E+00
  1.8850E+01    6.3745E+00
  1.8950E+01    6.3783E+00
  1.9050E+01    6.3821E+00
  1.9150E+01    6.3858E+00
  1.9250E+01    6.3896E+00
  1.9350E+01    6.3934E+00
  1.9450E+01    6.3972E+00
  1.9550E+01    6.4010E+00
  1.9650E+01    6.4048E+00
  1.9750E+01    6.4086E+00
  1.9850E+01    6.4125E+00
  1.9950E+01    6.4192E+00
